"","part_id","task","domain","type","modality","mean_rt","upper_bound","lower_bound","rt_slope"
"1","f005","LSL","visual","random","linguistic",0.881,0.333636361291,0.508658910636,-1e-04
"2","f006","LSL","visual","random","linguistic",1.025,0.333636361291,0.508658910636,4e-04
"3","f008","LSL","visual","random","linguistic",0.779,0.333636361291,0.508658910636,0.003
"4","f006","SSL","auditory","random","linguistic",0.627,0.316994948545,0.830358840718,-0.0206
"5","f008","ssl","auditory","random","linguistic",1.269,0.266979119275,1.358718089294,0.0083
"6","f006","TSL","auditory","random","non-linguistic",0.433,0.278108570667,0.588683315979,-0.0207
"7","f008","tsl","new_auditory","random","non-linguistic",0.929,0.025304732,1.300368042,-5e-04
"8","f005","VSL","visual","random","non-linguistic",0.491,0.375424924248,0.642080914695,-0.0086
"9","f006","VSL","visual","random","non-linguistic",0.541,0.417051638302,0.675419206906,0.0013
"10","f008","VSL","visual","random","non-linguistic",0.397,0.329045999446,0.471268709749,2e-04
"11","f005","LSL","visual","structured","linguistic",0.824,0.241948591254,1.383742643869,-3e-04
"12","f006","LSL","visual","structured","linguistic",0.972,0.383723586157,1.633752101683,0
"13","f008","LSL","visual","structured","linguistic",0.752,0.322257167776,1.378993277671,0.0011
"14","f006","SSL","auditory","structured","linguistic",0.658,0.300321109185,0.863700261766,-0.0439
"15","f008","SSL","auditory","structured","linguistic",0.662,0.261121558,1.367082458,-0.0409
"16","f006","TSL","auditory","structured","non-linguistic",0.624,0.000285582034849,0.922016459652,0.0309
"17","f008","TSL","auditory","structured","non-linguistic",1.116,0.266979119275,1.358718089294,0.0048
"18","f005","VSL","visual","structured","non-linguistic",0.41,0.375335608667,0.467192623124,-0.0025
"19","f006","VSL","visual","structured","non-linguistic",0.581,0.466983840975,0.967162614223,-8e-04
"20","f008","VSL","visual","structured","non-linguistic",0.413,0.333636361291,0.508658910636,0.0011
